#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   2                    0                  3.7                    0     1.23037071441211     336.734469021436
                   2                    0                  3.7                    0     1.23043583121162     325.687239043597
                   2                    0                  3.7                    0     1.23050094801113     314.640009065758
                   2                    0                  3.7                    0     1.23056606481064     303.592779087919
                   2                    0                  3.7                    0     1.23063118161015     292.545549110081
                   2                    0                  3.7                    0     1.23069629840966     281.498319132242
                   2                    0                  3.7                    0     1.23076141520917     270.451089154403
                   2                    0                  3.7                    0     1.23082653200868     259.403859176565
                   2                    0                  3.7                    0     1.23089164880819     248.356629198726
                   2                    0                  3.7                    0      1.2309567656077     237.309399220887
                   2                    0                  3.7                    0      1.2310218824072     226.262169243049
                   2                    0                  3.7                    0     1.23108699920671      215.21493926521
                   2                    0                  3.7                    0     1.23115211600622     204.167709287371
                   2                    0                  3.7                    0     1.23121723280573     193.120479309532
                   2                    0                  3.7                    0     1.23128234960524     182.073249331694
                   2                    0                  3.7                    0     1.23134746640475     171.026019353855
    1.78359770773628    0.160529168756172                  3.7                    0     1.23141258320426     159.978789376016
                   2                    0                6.359                    0    0.311953523951732     222.718871488988
                   2                    0                6.359                    0    0.311451349840548     220.056536899961
                   2                    0                6.359                    0    0.310949175729364     217.394202310934
                   2                    0                6.359                    0    0.310447001618181     214.731867721907
                   2                    0                6.359                    0    0.309944827506997      212.06953313288
   0.300252476060848     4.97412404520495                6.359                    0    0.309442653395814     209.407198543852
    1.99999999999997                    0                  3.7                    0     1.36591526887772     171.554989304281
                   2                    0                  3.7                    0     1.35798015032891     174.232486271908
                   2                    0                  3.7                    0     1.35004503178009     176.909983239534
                   2                    0                  3.7                    0     1.34210991323128      179.58748020716
                   2                    0                  3.7                    0     1.33417479468246     182.264977174787
                   2                    0                  3.7                    0     1.32623967613365     184.942474142413
                   2                    0                  3.7                    0     1.31830455758483      187.61997111004
                   2                    0                  3.7                    0     1.31036943903601     190.297468077666
                   2                    0                  3.7                    0      1.3024343204872     192.974965045293
                   2                    0                  3.7                    0     1.29449920193838     195.652462012919
                   2                    0                  3.7                    0     1.28656408338957     198.329958980545
    2.00000000000003                    0                  3.7                    0     1.27862896484075     201.007455948172
                   2                    0                  3.7                    0     1.27069384629194     203.684952915798
                   2                    0                  3.7                    0     1.26275872774312     206.362449883425
                   2                    0                  3.7                    0      1.2548236091943     209.039946851051
                   2                    0                  3.7                    0     1.24688849064549     211.717443818677
                   2                    0                  3.7                    0     1.23895337209667     214.394940786304
    1.26658558703673     3.91613799845102                  3.7                    0     1.23101825354786      217.07243775393
                   2                    0                6.359                    0    0.288933873368374     1.94350364472061
    1.47073758250076    0.273641848483062                6.359                    0    0.294872346996939     2.06339664364065
    1.99999999999994                    0                  3.7                    0     1.24381414286461     358.429076968042
                   2                    0                  3.7                    0     1.24306816855818     354.062161150607
                   2                    0                  3.7                    0     1.24232219425175     349.695245333172
                   2                    0                  3.7                    0     1.24157621994532     345.328329515737
                   2                    0                  3.7                    0     1.24083024563889     340.961413698303
                   2                    0                  3.7                    0     1.24008427133246     336.594497880868
                   2                    0                  3.7                    0     1.23933829702603     332.227582063433
                   2                    0                  3.7                    0      1.2385923227196     327.860666245998
                   2                    0                  3.7                    0     1.23784634841317     323.493750428563
                   2                    0                  3.7                    0     1.23710037410674     319.126834611128
                   2                    0                  3.7                    0     1.23635439980031     314.759918793693
                   2                    0                  3.7                    0     1.23560842549388     310.393002976258
                   2                    0                  3.7                    0     1.23486245118745     306.026087158823
                   2                    0                  3.7                    0     1.23411647688102     301.659171341388
                   2                    0                  3.7                    0     1.23337050257459     297.292255523953
                   2                    0                  3.7                    0     1.23262452826816     292.925339706518
                   2                    0                  3.7                    0     1.23187855396173     288.558423889083
                   2                    0                  3.7                    0      1.2311325796553     284.191508071648
    1.98941079806951     4.90918831566875                  3.7                    0     1.23038660534887     279.824592254213
    1.99999999999994                    0                6.359                    0    0.301545227456322     197.144172759008
                   2                    0                6.359                    0    0.299559960691934     194.077747591676
                   2                    0                6.359                    0    0.297574693927545     191.011322424345
                   2                    0                6.359                    0    0.295589427163157     187.944897257013
                   2                    0                6.359                    0    0.293604160398769     184.878472089682
   0.302248377813726   0.0744783724410602                6.359                    0    0.291618893634381      181.81204692235
    1.99999999999994                    0                  3.7                    0     1.35854978741025     358.910845848627
                   2                    0                  3.7                    0     1.35891250125549     358.097784170871
                   2                    0                  3.7                    0     1.35927521510073     357.284722493115
                   2                    0                  3.7                    0     1.35963792894597      356.47166081536
                   2                    0                  3.7                    0     1.36000064279121     355.658599137604
                   2                    0                  3.7                    0     1.36036335663645     354.845537459849
                   2                    0                  3.7                    0     1.36072607048169     354.032475782093
                   2                    0                  3.7                    0     1.36108878432693     353.219414104337
                   2                    0                  3.7                    0     1.36145149817218     352.406352426582
                   2                    0                  3.7                    0     1.36181421201742     351.593290748826
                   2                    0                  3.7                    0     1.36217692586266      350.78022907107
                   2                    0                  3.7                    0      1.3625396397079     349.967167393315
                   2                    0                  3.7                    0     1.36290235355314     349.154105715559
                   2                    0                  3.7                    0     1.36326506739838     348.341044037804
                   2                    0                  3.7                    0     1.36362778124362     347.527982360048
                   2                    0                  3.7                    0     1.36399049508886     346.714920682292
